Nome do Autor1;Nome do Autor2;Ano;Título da Produção;Subtipo da Produção;Linha de Pesquisa;Categoria
SUELY ALDIR MESSEDER;SUELY ALDIR MESSEDER;2013;“MULHER DE BIGODE NEM O DIABO PODE”   PRÁTICAS E REPRESENTAÇÕES MACHISTAS VIVENCIADAS PELAS MULHERES MASCULINIZADAS                                                                   PRÁTICAS E REPRESENTAÇÕES MACHISTAS VIVENCIADAS PELAS MULHERES MASCULINIZADAS;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
CLAUDIA PINTO PEREIRA SENA;CLAUDIA PINTO PEREIRA SENA;2013;A APLICAÇÃO DE AUDITORIA DE SISTEMAS E O APOIO DA GESTÃO DA INFORMAÇÃO PARA A MELHORIA DO USO DE TECNOLOGIA DE INFORMAÇÃO NAS ORGANIZAÇÕES UM ESTUDO DE CASO EM UMA INSTITUIÇÃO DE ARRECADAÇÃO TRIBUTÁRIA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;A BEATA E AS GALINHAS;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;A BÊNÇÃO MÃE SENHORA DISSE VINICIUS DE MORAES;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
MARIA TERESINHA TAMANINI;MARIA TERESINHA TAMANINI;2013;A COLABORAÇÃO EM COMUNIDADES CIENTÍFICAS DAS REDES DE COPARTICIPAÇÃO À DIFUSÃO DO CONHECIMENTO;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
HERNANE BORGES DE BARROS PEREIRA;MARIA TERESINHA TAMANINI;2013;A COLABORAÇÃO EM COMUNIDADES CIENTÍFICAS INTERDISCIPLINARES ANÁLISE DE PROJETOS DE PESQUISA COM AUXÍLIO DA TEORIA DE REDES;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
HERNANE BORGES DE BARROS PEREIRA;NUBIA MOURA RIBEIRO;2013;A COLABORAÇÃO EM COMUNIDADES CIENTÍFICAS INTERDISCIPLINARES ANÁLISE DE PROJETOS DE PESQUISA COM AUXÍLIO DA TEORIA DE REDES;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
MARIA TERESINHA TAMANINI;NUBIA MOURA RIBEIRO;2013;A COLABORAÇÃO EM COMUNIDADES CIENTÍFICAS INTERDISCIPLINARES ANÁLISE DE PROJETOS DE PESQUISA COM AUXÍLIO DA TEORIA DE REDES;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
TERESINHA FROES BURNHAM;TERESINHA FROES BURNHAM;2013;A CONVERGÊNCIA TECNOLÓGICA LÍQUIDA NO CONTEXTO DA SALA DE AULA UM RECORTE DO ENSINO SUPERIOR PÚBLICO BAIANO SOB A ÓTICA DISCENTE;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;A CRISE DOS 70 ANOS E A MÚSICA BRASILEIRA;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
FRANCISCA DE PAULA S DA SILVA;FRANCISCA DE PAULA S DA SILVA;2013;A DIMENSÃO SOCIAL DE UMA PESQUISA INTERDISCIPLINAR EM MEIO AMBIENTE SAÚDE E GERAÇÃO DE RENDA A PARTIR DE DETERMINANTES SOCIAIS DA SAÚDE;LIVRO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
SUELY ALDIR MESSEDER;SUELY ALDIR MESSEDER;2013;A EDUCAÇÃO E AS SEXUALIDADES UM RELATO DE EXPERIÊNCIA COM A EDUCAÇÃO BÁSICA NO SEMINÁRIO ENLAÇANDO SEXUALIDADES NO ESTADO DA BAHIA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
DANTE AUGUSTO GALEFFI;KATHIA MARISE BORGES SALES AQUINO;2013;A EPISTEMOLOGIA E FILOSOFIA FREIRIANA COMO INTERFACE PARA ANÁLISE COGNITIVA TELEMATICAMENTE MEDIADA;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
CLAUDIA PINTO PEREIRA SENA;HERNANE BORGES DE BARROS PEREIRA;2013;A EXPERIÊNCIA DE APLICAÇÃO DA APRENDIZAGEM BASEADA EM PROBLEMAS NO PROCESSO DE CONSTRUÇÃO E REPRESENTAÇÃO DO CONHECIMENTO DE DEFICIENTES VISUAIS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
CLAUDIA PINTO PEREIRA SENA;TRAZIBULO HENRIQUE PARDO CASAS;2013;A EXPERIÊNCIA DE APLICAÇÃO DA APRENDIZAGEM BASEADA EM PROBLEMAS NO PROCESSO DE CONSTRUÇÃO E REPRESENTAÇÃO DO CONHECIMENTO DE DEFICIENTES VISUAIS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
HERNANE BORGES DE BARROS PEREIRA;TRAZIBULO HENRIQUE PARDO CASAS;2013;A EXPERIÊNCIA DE APLICAÇÃO DA APRENDIZAGEM BASEADA EM PROBLEMAS NO PROCESSO DE CONSTRUÇÃO E REPRESENTAÇÃO DO CONHECIMENTO DE DEFICIENTES VISUAIS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
LILIAN LESSA ANDRADE LINO;LILIAN LESSA ANDRADE LINO;2013;A FARINHA DE MANDIOCA INDISPENSÁVEL PARA QUEM VIVEU NA ROÇA A EXPERIÊNCIA DE ANTONIO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
LUZIA MATOS MOTA;LUZIA MATOS MOTA;2013;A INSTITUCIONALIZAÇÃO DO PIBIC-JR NO IFBA HISTÓRICO E RESULTADOS NO PERÍODO DE 2004-2011;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
