No;Ano;Título da Produção;Nome do Autor;Subtipo da Produção;Linha de Pesquisa;Categoria
279;2013;“MULHER DE BIGODE NEM O DIABO PODE”   PRÁTICAS E REPRESENTAÇÕES MACHISTAS VIVENCIADAS PELAS MULHERES MASCULINIZADAS                                                                   PRÁTICAS E REPRESENTAÇÕES MACHISTAS VIVENCIADAS PELAS MULHERES MASCULINIZADAS;SUELY ALDIR MESSEDER;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
26;2013;A APLICAÇÃO DE AUDITORIA DE SISTEMAS E O APOIO DA GESTÃO DA INFORMAÇÃO PARA A MELHORIA DO USO DE TECNOLOGIA DE INFORMAÇÃO NAS ORGANIZAÇÕES UM ESTUDO DE CASO EM UMA INSTITUIÇÃO DE ARRECADAÇÃO TRIBUTÁRIA;CLAUDIA PINTO PEREIRA SENA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
98;2013;A BEATA E AS GALINHAS;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
99;2013;A BÊNÇÃO MÃE SENHORA DISSE VINICIUS DE MORAES;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
229;2013;A COLABORAÇÃO EM COMUNIDADES CIENTÍFICAS DAS REDES DE COPARTICIPAÇÃO À DIFUSÃO DO CONHECIMENTO;MARIA TERESINHA TAMANINI;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
6;2013;A COLABORAÇÃO EM COMUNIDADES CIENTÍFICAS INTERDISCIPLINARES ANÁLISE DE PROJETOS DE PESQUISA COM AUXÍLIO DA TEORIA DE REDES;HERNANE BORGES DE BARROS PEREIRA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
7;2013;A COLABORAÇÃO EM COMUNIDADES CIENTÍFICAS INTERDISCIPLINARES ANÁLISE DE PROJETOS DE PESQUISA COM AUXÍLIO DA TEORIA DE REDES;MARIA TERESINHA TAMANINI;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
9;2013;A COLABORAÇÃO EM COMUNIDADES CIENTÍFICAS INTERDISCIPLINARES ANÁLISE DE PROJETOS DE PESQUISA COM AUXÍLIO DA TEORIA DE REDES;NUBIA MOURA RIBEIRO;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
286;2013;A CONVERGÊNCIA TECNOLÓGICA LÍQUIDA NO CONTEXTO DA SALA DE AULA UM RECORTE DO ENSINO SUPERIOR PÚBLICO BAIANO SOB A ÓTICA DISCENTE;TERESINHA FROES BURNHAM;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
100;2013;A CRISE DOS 70 ANOS E A MÚSICA BRASILEIRA;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
85;2013;A DIMENSÃO SOCIAL DE UMA PESQUISA INTERDISCIPLINAR EM MEIO AMBIENTE SAÚDE E GERAÇÃO DE RENDA A PARTIR DE DETERMINANTES SOCIAIS DA SAÚDE;FRANCISCA DE PAULA S DA SILVA;LIVRO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
13;2013;A EDUCAÇÃO E AS SEXUALIDADES UM RELATO DE EXPERIÊNCIA COM A EDUCAÇÃO BÁSICA NO SEMINÁRIO ENLAÇANDO SEXUALIDADES NO ESTADO DA BAHIA;SUELY ALDIR MESSEDER;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
41;2013;A EPISTEMOLOGIA E FILOSOFIA FREIRIANA COMO INTERFACE PARA ANÁLISE COGNITIVA TELEMATICAMENTE MEDIADA;DANTE AUGUSTO GALEFFI;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
199;2013;A EPISTEMOLOGIA E FILOSOFIA FREIRIANA COMO INTERFACE PARA ANÁLISE COGNITIVA TELEMATICAMENTE MEDIADA;KATHIA MARISE BORGES SALES AQUINO;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
27;2013;A EXPERIÊNCIA DE APLICAÇÃO DA APRENDIZAGEM BASEADA EM PROBLEMAS NO PROCESSO DE CONSTRUÇÃO E REPRESENTAÇÃO DO CONHECIMENTO DE DEFICIENTES VISUAIS;CLAUDIA PINTO PEREIRA SENA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
123;2013;A EXPERIÊNCIA DE APLICAÇÃO DA APRENDIZAGEM BASEADA EM PROBLEMAS NO PROCESSO DE CONSTRUÇÃO E REPRESENTAÇÃO DO CONHECIMENTO DE DEFICIENTES VISUAIS;HERNANE BORGES DE BARROS PEREIRA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
292;2013;A EXPERIÊNCIA DE APLICAÇÃO DA APRENDIZAGEM BASEADA EM PROBLEMAS NO PROCESSO DE CONSTRUÇÃO E REPRESENTAÇÃO DO CONHECIMENTO DE DEFICIENTES VISUAIS;TRAZIBULO HENRIQUE PARDO CASAS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
204;2013;A FARINHA DE MANDIOCA INDISPENSÁVEL PARA QUEM VIVEU NA ROÇA A EXPERIÊNCIA DE ANTONIO;LILIAN LESSA ANDRADE LINO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
211;2013;A INSTITUCIONALIZAÇÃO DO PIBIC-JR NO IFBA HISTÓRICO E RESULTADOS NO PERÍODO DE 2004-2011;LUZIA MATOS MOTA;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
